Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
2.54mm 40x1 Male Blue Straight Burg Strips (Pack of 5),BREADBOARD PINS,7,1.7,https://roboticsdna.in/product/2-54mm-40x1-male-blue-straight-burg-strips-pack-of-5/,Robotics DNA
40x2 Pin 2.54mm Pitch Male Berg Strip,BREADBOARD PINS,3,0.4,https://robocraze.com/products/40x2-pin-2-54mm-pitch-male-berg-strip?variant=43046631801056,Robocraze
40x2 Female Berg Strip,BREADBOARD PINS,1,0.2,https://robocraze.com/products/40x2-female-berg-strip?variant=40192365887641,Robocraze
40x1 Female Berg Strip,BREADBOARD PINS,11,1.1,https://robocraze.com/products/40x1-female-berg-strip?variant=40192367689881,Robocraze
PCB,PCB,5,12.46,,JLCPCB
TAX,TAX,1,1,,Indian Govt.
SHIPPING,SHIPPING,2,1.33,,Robocraze & Robotics DNA
